Frame,Bat Angle,Feedback
637,165.4,Swing too wide; reduces control.
638,166.9,Swing too wide; reduces control.
639,159.7,Good swing angle!
640,165.0,Swing too wide; reduces control.
641,169.2,Swing too wide; reduces control.
642,173.1,Swing too wide; reduces control.
643,172.3,Swing too wide; reduces control.
644,165.4,Swing too wide; reduces control.
645,173.4,Swing too wide; reduces control.
646,167.8,Swing too wide; reduces control.
647,169.2,Swing too wide; reduces control.
648,168.9,Swing too wide; reduces control.
649,168.9,Swing too wide; reduces control.
650,170.3,Swing too wide; reduces control.
651,173.8,Swing too wide; reduces control.
652,174.3,Swing too wide; reduces control.
653,179.6,Swing too wide; reduces control.
654,179.3,Swing too wide; reduces control.
655,178.3,Swing too wide; reduces control.
656,160.0,Swing too wide; reduces control.
657,179.0,Swing too wide; reduces control.
658,N/A,No pose detected
659,N/A,No pose detected
660,N/A,No pose detected
661,N/A,No pose detected
662,N/A,No pose detected
663,N/A,No pose detected
664,N/A,No pose detected
665,N/A,No pose detected
666,N/A,No pose detected
667,N/A,No pose detected
668,N/A,No pose detected
669,N/A,No pose detected
670,N/A,No pose detected
671,N/A,No pose detected
672,N/A,No pose detected
673,N/A,No pose detected
674,N/A,No pose detected
675,N/A,No pose detected
676,179.0,Swing too wide; reduces control.
677,N/A,No pose detected
678,N/A,No pose detected
679,N/A,No pose detected
680,N/A,No pose detected
681,N/A,No pose detected
682,N/A,No pose detected
683,N/A,No pose detected
684,N/A,No pose detected
685,N/A,No pose detected
686,N/A,No pose detected
687,N/A,No pose detected
688,N/A,No pose detected
689,N/A,No pose detected
690,N/A,No pose detected
691,N/A,No pose detected
692,N/A,No pose detected
693,N/A,No pose detected
694,N/A,No pose detected
695,N/A,No pose detected
696,N/A,No pose detected
697,N/A,No pose detected
698,N/A,No pose detected
699,N/A,No pose detected
700,N/A,No pose detected
701,N/A,No pose detected
702,N/A,No pose detected
703,N/A,No pose detected
704,N/A,No pose detected
705,N/A,No pose detected
706,N/A,No pose detected
707,N/A,No pose detected
708,N/A,No pose detected
709,N/A,No pose detected
710,N/A,No pose detected
711,N/A,No pose detected
712,N/A,No pose detected
713,N/A,No pose detected
714,N/A,No pose detected
715,N/A,No pose detected
716,N/A,No pose detected
717,N/A,No pose detected
718,N/A,No pose detected
719,N/A,No pose detected
720,145.5,Good swing angle!
721,155.0,Good swing angle!
722,148.5,Good swing angle!
723,141.6,Good swing angle!
724,154.5,Good swing angle!
725,N/A,No pose detected
726,N/A,No pose detected
727,N/A,No pose detected
728,144.5,Good swing angle!
